Id,Name,Type,Price,Mall,2026-04-12 00:40:30
90955772,NZXT KRAKEN PLUS 240,,174000,29몰,
90955871,NZXT KRAKEN PLUS 280,,193000,123몰,
90955955,NZXT KRAKEN PLUS 360,,246130,123몰,
90956174,NZXT KRAKEN PLUS 240 RGB,블랙,195000,124몰,
90956255,NZXT KRAKEN PLUS 240 RGB,화이트,195000,123몰,
90956384,NZXT KRAKEN PLUS 360 RGB,블랙,269000,116몰,
90956414,NZXT KRAKEN PLUS 360 RGB,화이트,269000,128몰,
91493882,GAMDIAS AURA GL360 LITE,블랙,63800,55몰,
91494134,GAMDIAS CHIONE P5-360,블랙,192990,49몰,
91494182,GAMDIAS CHIONE P5-360,화이트,188500,44몰,
91870901,앱코 포세이돈 P360D ARGB 디스플레이,블랙,88000,23몰,
91870913,앱코 포세이돈 P360D ARGB 디스플레이,화이트,91000,57몰,
92045246,ARCTIC Liquid Freezer III PRO 360 서린,,154210,99몰,
92045591,ARCTIC Liquid Freezer III PRO 360 A-RGB 서린,블랙,175370,103몰,
92045609,ARCTIC Liquid Freezer III PRO 360 A-RGB 서린,화이트,181910,104몰,
92152679,3RSYS Socoool BYK 360 Quiet,화이트,83270,77몰,
92360156,CORSAIR iCUE LINK TITAN 420 RX RGB,블랙,275500,9몰,
93381869,be quiet SILENT LOOP 3 240,,189300,79몰,
93382094,be quiet SILENT LOOP 3 360,,250200,81몰,
93382205,be quiet SILENT LOOP 3 420,,274700,85몰,
94024913,발키리 B360-GT LCD ARGB,블랙,143080,120몰,
94024940,발키리 B360-GT LCD ARGB,화이트,148680,124몰,
94025072,Thermalright Mjolnir Vision 360 ARGB 벌크 서린,블랙,169000,65몰,
94025141,Thermalright Mjolnir Vision 360 ARGB 벌크 서린,화이트,169000,74몰,
94028993,Thermalright FROZEN HORIZON 360 ARGB V2 서린,블랙,141810,82몰,
94029023,Thermalright FROZEN HORIZON 360 ARGB V2 서린,화이트,141810,42몰,
94450799,ARCTIC Liquid Freezer III PRO 420 서린,블랙,168630,89몰,
94450808,ARCTIC Liquid Freezer III PRO 420 A-RGB 서린,블랙,187030,91몰,
94450811,ARCTIC Liquid Freezer III PRO 420 A-RGB 서린,화이트,197790,90몰,
94450814,ARCTIC Liquid Freezer III PRO 240 서린,블랙,131890,90몰,
94450823,ARCTIC Liquid Freezer III PRO 240 A-RGB 서린,블랙,149590,93몰,
94570358,ASUS ROG Ryuo IV SLC 360 ARGB,블랙,844560,5몰,
94937165,써멀테이크 MAGFloe 360 Ultra ARGB Sync,블랙,301500,1몰,
94937174,써멀테이크 MAGFloe 360 Ultra ARGB Sync,스노우,301500,1몰,
94937255,써멀테이크 MAGFloe 420 Ultra ARGB Sync,블랙,321500,1몰,
95525072,darkFlash 아쿠아루믹 DL-360 ARGB,블랙,60970,103몰,
95525099,darkFlash 아쿠아루믹 DL-360 ARGB,화이트,66490,110몰,
95846972,쿨러마스터 MASTERLIQUID 360 ATMOS II VRM Fan,블랙,175080,112몰,
95847107,쿨러마스터 MASTERLIQUID 360 ATMOS II VRM Fan,화이트,178920,69몰,
95847233,쿨러마스터 MASTERLIQUID 360 ATMOS II LCD,블랙,193250,73몰,
95847245,쿨러마스터 MASTERLIQUID 360 ATMOS II LCD,화이트,203300,58몰,
95847668,쿨러마스터 MASTERLIQUID 360 ATMOS II Pixel LED,블랙,212320,72몰,
95848535,쿨러마스터 MASTERLIQUID 240 ATMOS II VRM Fan,블랙,159400,69몰,
95848784,쿨러마스터 MASTERLIQUID 240 ATMOS II LCD,블랙,173150,78몰,
