Id,Name,Type,Price,Mall,2025-05-14 12:41:10
125786,인텔 소켓775 정품,,8000,1몰,
143925,잘만 CNPS9500 AT,,90000,1몰,
157080,디직스 아이스피아 300-775 LED,,4890,56몰,
284022,잘만 CNPS9700 LED,,90000,1몰,
411184,COOLERTEC SPIRE SP508C0-A,,37460,13몰,
553542,디직스 아이스피아 700-775 HP,,8580,75몰,
553676,COOLERTEC ICEBERG-775 BLUE 사일런트 유체,,8800,3몰,
559849,디직스 아이스피아 300-775 NEO,,7100,50몰,
640713,EVERCOOL CPM3-410CA,,19990,65몰,
650126,EVERCOOL HPH-9525CU,,30150,17몰,
674218,COOLERTEC INTEL XEON PWM FAN,,9200,16몰,
773769,COOLERTEC ICECAP AM2 옐로우,,3920,20몰,
892975,COOLERTEC ICECAP AM2 SILENT WHITE,,6500,68몰,
893273,디직스 아이스피아 300-775S,,4530,56몰,
916269,COOLERTEC ICEBAY WHITE PWM,,20280,6몰,
920841,COOLERTEC CT-775-1U,,35810,13몰,
1084217,COOLERTEC CT-1156-1U-Blower,,42160,1몰,
1165954,COOLERTEC CT-775-1U-PASSIVE,,30200,73몰,
1174153,COOLERTEC CT-1156-1U-Blower (PWM),,38920,58몰,
1206375,잘만 CNPS9900 MAX 블루,,90000,1몰,
1206389,인텔 소켓1156 정품,일반형,4690,70몰,
1269720,COOLERTEC GIANT-775 ORANGE-PP,,9570,72몰,
1279962,Thermalright TRUE Spirit Ni,,53000,38몰,
1281283,COOLERTEC ICECAP AM2 AM3 옐로우,,3700,65몰,
1363740,XIGMATEK Gaia SD1283,,32990,62몰,
1363882,XIGMATEK Achilles 2 SD1284,,47220,2몰,
1390751,COOLERTEC CT-775-1U-BLOWER (PWM),,29800,71몰,
1434301,XIGMATEK PRIME SD1484,,58760,2몰,
1460534,COOLERTEC INTEL XEON-771 FAN,,8790,57몰,
1536172,Thermalright True Spirit 140,,60000,77몰,
1538213,COOLERTEC CT-775-1U(2 BALL),,37500,27몰,
1538215,COOLERTEC CT-1155/1156-1U(2BALL),,41200,65몰,
1612222,TITAN TTC-MS1AB,,4670,12몰,
1683210,EVERCOOL LGAL1156A-B715,,40130,2몰,
1685601,TYAN JYC1R04ATPG-0,,72000,2몰,
1722074,EVERCOOL LGAL2011A-B715,,34740,73몰,
1827552,NOCTUA NH-L9i,,77020,73몰,
1841012,COOLERTEC NBCC-CO5,,22340,17몰,
1841016,COOLERTEC NCH-01,,17200,2몰,
1841017,COOLERTEC NCH-02,,16390,41몰,
1841018,COOLERTEC NCH-03,,16640,1몰,
1841019,COOLERTEC NCH-04,,16390,33몰,
1841020,COOLERTEC NCH-05,,16390,33몰,
1881041,EVERCOOL VENTI,,33480,1몰,
1894904,쿨러마스터 STANDARD 1155/1156 SLIM,,9100,54몰,
1959996,XIGMATEK Dark Knight SD1283 Night Hawk Edition,,51790,65몰,
2108228,NOCTUA NH-U12S,,117090,83몰,
2121557,COOLERTEC CT-1155/1156-Slim(CU),,15610,64몰,
2191779,디직스 아이스피아 300-1000SQ,,5600,58몰,
2191818,디직스 아이스피아 300-1000S,,5600,58몰,
2198445,COOLERTEC CT-2011-1U-BLOWER-PWM(4Pin),,37200,73몰,
2198482,COOLERTEC BETA-50-BLUE,,5900,44몰,
2232721,Thermalright AXP-200,,97000,39몰,
2245580,COOLERTEC ALPHA-100-BLUE,,10990,68몰,
2245591,COOLERTEC GAMMA-100-BLUE,,6500,68몰,
2359447,Thermalright AXP-200R ROG,,96700,66몰,
2405745,GELID SLIMHERO,,40990,60몰,
2434395,COOLERTEC CT-1150/1155/1156-Slim(AL),,9570,73몰,
2487885,COOLERTEC Intel 1155/1156-AL,,7900,1몰,
2523582,Thermalright TRUE Spirit 120M(BW) Rev.A,,58000,69몰,
2525509,디직스 아이스피아 WIND1000,,8580,51몰,
2563768,COOLERTEC ICECAP AM2 AM3 SILENT WHITE,,6500,17몰,
2633155,EVERCOOL EC115X-BLUE LED,,11850,74몰,
2700232,REEVEN HANS,,54260,62몰,
