Id,Name,Type,Price,Mall,2026-01-03 18:20:39
1678801,인텔 코어i7-3세대 3770 (아이비브릿지),중고,42990,57몰,
1678802,인텔 코어i7-3세대 3770 (아이비브릿지),벌크 + 쿨러,52990,5몰,
2081225,인텔 코어i7-4세대 4770 (하스웰),벌크,47490,32몰,
2691208,인텔 코어i5-4세대 4690 (하스웰 리프레시),벌크,25710,12몰,
2691212,인텔 코어i5-4세대 4690 (하스웰 리프레시),벌크 + 쿨러,29860,6몰,
2783222,인텔 코어i7-4세대 4790 (하스웰 리프레시),벌크 + 쿨러,60910,8몰,
2783223,인텔 코어i7-4세대 4790 (하스웰 리프레시),벌크,49580,11몰,
3412420,인텔 코어i5-6세대 6500 (스카이레이크),벌크 + 쿨러,43590,9몰,
3412421,인텔 코어i5-6세대 6500 (스카이레이크),벌크,40490,29몰,
3412423,인텔 코어i5-6세대 6600 (스카이레이크),벌크 + 쿨러,44990,15몰,
3412424,인텔 코어i5-6세대 6600 (스카이레이크),벌크,39050,27몰,
3412425,인텔 코어i7-6세대 6700 (스카이레이크),벌크 + 쿨러,80380,57몰,
3412426,인텔 코어i7-6세대 6700 (스카이레이크),벌크,74490,49몰,
3444847,인텔 코어i7-6세대 6700K (스카이레이크),벌크 + 쿨러,78460,19몰,
3444848,인텔 코어i7-6세대 6700K (스카이레이크),벌크,72490,27몰,
3471458,인텔 코어i3-6세대 6100 (스카이레이크),벌크 + 쿨러,12110,23몰,
3471459,인텔 코어i3-6세대 6100 (스카이레이크),벌크,7180,26몰,
4143775,인텔 코어i7-6세대 6700K (스카이레이크),중고,69820,45몰,
4143949,인텔 코어i5-4세대 4690 (하스웰 리프레시),중고,20870,60몰,
4147680,인텔 코어i7-2세대 2600 (샌디브릿지),중고,31000,51몰,
4197696,인텔 코어i3-6세대 6100 (스카이레이크),중고,7180,70몰,
4370096,인텔 제온 E5-2630 v4 (브로드웰-EP),정품,770000,3몰,
4797874,인텔 코어i7-6세대 6700K (스카이레이크),해외구매,89200,51몰,
4797889,인텔 코어i7-6세대 6700 (스카이레이크),해외구매,117830,29몰,
4820379,인텔 코어i5-7세대 7600 (카비레이크),벌크,67160,15몰,
4820409,인텔 코어i5-7세대 7500 (카비레이크),벌크,60000,26몰,
4820435,인텔 코어i7-7세대 7700K (카비레이크),벌크,126110,12몰,
4866526,인텔 코어i5-7세대 7500 (카비레이크),벌크 + 쿨러,65990,19몰,
4929101,AMD 라이젠7-1세대 1800X (서밋 릿지),정품,659550,1몰,
5132410,인텔 제온 E3-1225V6 (카비레이크),정품,408140,3몰,
5132462,인텔 제온 E3-1230V6 (카비레이크),정품,411380,1몰,
5132478,인텔 제온 E3-1240V6 (카비레이크),정품,455000,1몰,
5132511,인텔 제온 E3-1275V6 (카비레이크),정품,736000,1몰,
5221419,인텔 펜티엄 G4600 (카비레이크),벌크,6890,21몰,
5401735,AMD 라이젠5-1세대 1500X (서밋 릿지),해외구매,35920,28몰,
5401751,AMD 라이젠5-1세대 1400 (서밋 릿지),해외구매,29930,43몰,
5519916,AMD 라이젠7-1세대 1800X (서밋 릿지),해외구매,239790,4몰,
5530013,인텔 코어i7-8세대 8700 (커피레이크),정품,542160,1몰,
5530356,인텔 코어i5-8세대 8400 (커피레이크),정품,343200,1몰,
5565155,AMD 라이젠 스레드리퍼 1920X (화이트헤븐),해외구매,192600,8몰,
5565689,AMD 라이젠3-1세대 1300X (서밋 릿지),해외구매,34010,6몰,
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),해외구매,441880,11몰,
5565805,AMD 라이젠7-1세대 1700 (서밋 릿지),해외구매,68640,27몰,
5569026,인텔 코어i3-8세대 8100 (커피레이크),벌크 + 쿨러,33950,38몰,
5569040,인텔 코어i3-8세대 8100 (커피레이크),벌크,26480,42몰,
5569056,인텔 코어i7-8세대 8700 (커피레이크),벌크,155990,48몰,
5614305,인텔 코어i5-8세대 8400 (커피레이크),벌크,88140,25몰,
5614322,인텔 코어i5-8세대 8400 (커피레이크),벌크 + 쿨러,92830,39몰,
5627136,인텔 코어i7-8세대 8700 (커피레이크),벌크 + 쿨러,189790,49몰,
5684847,인텔 코어i5-6세대 6500 (스카이레이크),중고,36520,79몰,
5714311,인텔 코어i7-6세대 6700 (스카이레이크),중고,72800,112몰,
6112690,인텔 코어i7-4세대 4770 (하스웰),중고,49210,54몰,
6112722,인텔 코어i7-4세대 4790 (하스웰 리프레시),중고,47980,77몰,
6112865,인텔 코어i7-4세대 4790K (데빌스캐년),중고,67740,31몰,
6333162,AMD 라이젠5-2세대 2600 (피나클 릿지),해외구매,51360,55몰,
6333353,AMD 라이젠7-2세대 2700X (피나클 릿지),해외구매,94510,48몰,
6491328,AMD 라이젠7-1세대 1700 (서밋 릿지),중고,38900,11몰,
6746998,인텔 코어X-시리즈 i7-9800X (스카이레이크),정품,731140,10몰,
6929425,인텔 코어X-시리즈 i9-9940X (스카이레이크),정품,929980,37몰,
7059166,인텔 코어i5-9세대 9400F (커피레이크-R),정품,92000,1몰,
7097410,인텔 코어i5-9세대 9400F (커피레이크-R),벌크,79890,26몰,
7097413,인텔 코어i5-9세대 9400F (커피레이크-R),벌크 + 쿨러,83180,14몰,
7281580,인텔 코어i7-8세대 8700 (커피레이크),해외구매,168700,31몰,
7468294,인텔 코어i5-6세대 6600 (스카이레이크),중고,38450,59몰,
7487428,인텔 코어i5-9세대 9400F (커피레이크-R),해외구매,83490,76몰,
7517686,인텔 코어i7-9세대 9700KF (커피레이크-R),정품,274290,40몰,
7559767,인텔 코어i9-9세대 9900KF (커피레이크-R),정품,539000,2몰,
7565248,인텔 코어i5-9세대 9600KF (커피레이크-R),정품,144530,47몰,
7892752,인텔 코어i7-9세대 9700KF (커피레이크-R),병행수입 박스,547730,1몰,
7892785,인텔 코어i7-9세대 9700KF (커피레이크-R),벌크 + 쿨러,210000,1몰,
7892803,인텔 코어i7-9세대 9700KF (커피레이크-R),벌크,196240,25몰,
7892839,인텔 코어i5-9세대 9600KF (커피레이크-R),병행수입 박스,144120,44몰,
7892848,인텔 코어i5-9세대 9600KF (커피레이크-R),벌크 + 쿨러,116880,61몰,
7892860,인텔 코어i5-9세대 9600KF (커피레이크-R),벌크,102830,56몰,
