Id,Name,Type,Price,Mall,2025-03-13 21:36:26
5250187,APPLE 2017 맥북프로15 MPTR2KH/A,SSD 256GB,2878330,6몰,
6949306,LG전자 2019 그램 2in1 14T990-GA36K,SSD 128GB,1380000,2몰,
8141383,LG전자 2019 그램 15Z990-VA5IK,SSD 256GB,1760000,1몰,
9594522,LG전자 2019 그램 2in1 14T990-GA36K,SSD 250GB,1407000,1몰,
9675459,LG전자 2019 그램 2in1 14T990-GA36K,SSD 500GB,1468000,3몰,
10495611,LG전자 2020 그램14 14Z90N-VA76K 24GB램,SSD 256GB,1960000,3몰,
11241270,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-K58A,SSD 256GB,1690000,5몰,
12292472,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-K58A,SSD 256GB + SSD 256GB,1790000,1몰,
12458204,삼성전자 갤럭시북 플렉스 알파 NT750QCJ-K58A,SSD 500GB,1790000,5몰,
13160093,LG전자 2019 그램 2in1 14TD990-GX70K WIN10,SSD 256GB,1970000,2몰,
13562249,레노버 씽크패드 X1 나노 20UNS02L00,SSD 256GB,1609560,21몰,
13593473,레노버 씽크패드 X1 티타늄 Yoga 20QAS00800,SSD 256GB,1779000,27몰,
13593533,레노버 씽크패드 X1 티타늄 Yoga 20QAS00500,SSD 512GB,1999000,15몰,
13911734,삼성전자 노트북 플러스2 NT550XDA-KC33W 16GB램,SSD 256GB,781350,3몰,
13912688,레노버 씽크패드 X12 Detachable 20UWS00F00,SSD 256GB,1588000,22몰,
13986281,삼성전자 갤럭시북 플렉스2 NT950QDA-X72A,SSD 1TB,1805530,4몰,
14044844,삼성전자 갤럭시북 프로360 NT930QDB-KF58G,SSD 256GB,1590000,4몰,
14048207,삼성전자 갤럭시북 프로360 NT950QDB-KM59S,SSD 512GB,1629320,5몰,
14132816,삼성전자 갤럭시북 NT750XDA-KH38,SSD 256GB,963430,9몰,
14175806,레노버 씽크패드 X1 Yoga 20XYS00700,SSD 256GB,1599000,21몰,
