Id,Name,Type,Price,Mall,2026-08-24 22:10:48
1928750,마이크로닉스 Classic II 600W 80PLUS 230V EU,,66500,5몰,
2459011,AONE 500P KC,,23730,122몰,
2511691,AONE 태왕 TFX-450T KC,,21990,74몰,
2716389,마이크로닉스 Compact SFX 300W 80PLUS브론즈,,62500,166몰,
2717067,마이크로닉스 Compact SFX 350W 80PLUS브론즈,,73000,165몰,
2932261,AONE 600T KC,,29500,120몰,
2935745,AONE MICRO 500P KC,,24970,138몰,
2944698,AONE TFX-500P KC,,31640,148몰,
3099460,AONE TFX-450P KC,,23990,133몰,
3182134,에너지옵티머스 Mach III 500K v2.3,,32990,95몰,
3188023,에너지옵티머스 Mach III 600K v2.3,,37940,97몰,
3353742,SuperFlower SF-2000F14HP LEADEX PLATINUM,,649000,140몰,
4186794,마이크로닉스 ZERO POWER 500W,,45900,108몰,
4801762,AONE STORM 500LF 더블포워드 V2.3,,31000,130몰,
4879239,AONE STORM 500LF 더블포워드 V2.3 벌크,,30970,97몰,
4909709,잘만 ZM850-ARX 80PLUS플래티넘,,189100,132몰,
5405967,마이크로닉스 ZERO PLUS 600W Active PFC,,57730,135몰,
5467243,마이크로닉스 ZERO PLUS 500W Active PFC,,48270,118몰,
5973034,EVGA 750 GQ 80PLUS골드,,102000,9몰,
6216861,잘만 EcoMax 500W,,35930,202몰,
6216877,잘만 EcoMax 600W,,41390,200몰,
6324846,마이크로닉스 Compact SFX 450W 80PLUS브론즈,,98000,151몰,
6426892,마이크로닉스 Compact SFX 400W 80PLUS브론즈,,85000,190몰,
6461849,마이크로닉스 ASTRO PLATINUM 850W 풀모듈러,,163500,158몰,
6461871,마이크로닉스 ASTRO PLATINUM 1050W 풀모듈러,,234360,132몰,
6537151,마이크로닉스 Performance II PV RGB Sync 600W 80PLUS브론즈,,92100,152몰,
7259221,쿨러마스터 GOLD V650 풀모듈러,,119320,82몰,
8431077,마이크로닉스 Classic II 800W 80PLUS 230V EU,,68000,8몰,
9343239,SuperFlower SF-750F14HT LEADEX TITANIUM,,328150,136몰,
9343278,SuperFlower SF-850F14HT LEADEX TITANIUM,,376210,158몰,
9431322,AONE STORM 500W 80PLUS브론즈,,43000,130몰,
9431340,AONE STORM 500W 80PLUS브론즈 벌크,,41000,121몰,
9431433,AONE STORM 600W 80PLUS브론즈,,48000,136몰,
9431529,AONE STORM 700W 80PLUS브론즈,,55000,134몰,
9431586,AONE STORM 700K 80PLUS브론즈 벌크,,56980,114몰,
9431634,AONE STORM 800W 80PLUS브론즈,,64870,135몰,
9789456,AONE STORM 600LF 벌크,,34990,120몰,
9839895,에너지옵티머스 EXTREME 600W 벌크,,36800,81몰,
9978645,AONE STORM 500LF 벌크,,30990,129몰,
10054539,마이크로닉스 Performance II HV 850W 80PLUS브론즈 FDB,,155800,170몰,
10054617,마이크로닉스 Performance II HV 1000W 80PLUS브론즈 FDB,,81900,166몰,
10174137,잘만 MegaMax 500W 80PLUS스탠다드,,44830,159몰,
10174200,잘만 MegaMax 600W 80PLUS스탠다드,,49840,224몰,
10174248,잘만 MegaMax 700W 80PLUS스탠다드,,58390,197몰,
10373682,AONE STORM 500LF,,33000,127몰,
10373727,AONE STORM 600LF,,37000,155몰,
10557825,마이크로닉스 Performance II PV 500W 80PLUS브론즈 FDB,,88500,149몰,
10557888,마이크로닉스 Performance II PV 600W 80PLUS브론즈 FDB,,114000,157몰,
10557909,마이크로닉스 Performance II PV 700W 80PLUS브론즈 FDB,,135000,164몰,
10901742,마이크로닉스 Classic II 750W 80PLUS브론즈 230V EU HDB 핑크,,77000,61몰,
11412288,AONE STORM 600W 80PLUS브론즈 벌크,,45990,107몰,
12023939,잘만 Wattbit II 500W,,38800,144몰,
